"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
City Hot Pot Shabu Shabu,Exorbitant shabu set lunch,So I decided to try this much-hyped about shabu restaurant for lunch hoping to satiate my Jap hotpot craving :) But what a letdown! I left the place feeling only half full after having the pork collar shabu set. Just nine thin slices of pork, 1 week ago,3,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,I love the fish milk soup!,Overall this restaurant's hotpot suits me and all my friends. The fish milk soup is perfect for shabu shabu. I personally find the herbal soup quite nice also  but first timer must go for the fish milk soup! I don't take beef  but my friends, 19 June 2018,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Good food and view,Service is good  food is good and view is also good. Will go back again when I’m cravings for hot pot., 2 weeks ago,3,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Dinner,The soup base is below average. Variety of choices are also minimum. The only acceptable is the meat., 24 September 2018,3,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Unhappy,Book in advance still need to share table! 3person still need to share table! No privacy. Bad!bad bad! Will not go again. 1st time and also last time. Fb preview cannot be trust.Super disappointing, 23 September 2018,1,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Environment and Food,Overall everything is good. I enjoy my food with views. Out of expectations  was the food is served Ala Carte. Price paid is quite worth due to the freshness of the seafood/meat. Recommend to make reservation if going with a group., 17 September 2018,4,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Satisfying hotpot,Called in to reserve for dinner was a great choice as have to wait in queue if walk in. Broth like fish milk  Tom yam  mala and herbal chix was all good tasting. Meat included in our 6 pax set was Australian waygu  beef short, 7 September 2018,4,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Worth the price. Would visit again.,We go for the 2 pax set. The food is fresh  and the soup base is nice. We choose tomato and milky fish soup for each of us. Top up $1 for the braise pork rice which is quite tasty. Staff is friendly and advise, 5 September 2018,4,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Very good,Fresh and delicious. We had the Thai tom yum and spicy Sichuan flavours with the set of wagyu beef and pork shoulder and loads of veggies. All were great and the service was good., 15 August 2018,5,Cheltenham  United Kingdom,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Great Authentic Chinese Hot Pot Restaurant located near One Raffles Place (Nearest MRT Raffles MRT),I came to City Hot Pot Shabu Shabu with my other half for an afternoon lunch. Very fresh ingredient served and the soup base was really good. ( *Try their Pork belly ) Great customer service from the crews and I would definitely return again., 6 August 2018,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Premium wagyu beef to go with hotpot,Premium wagyu beef to go with the varieties of hotpot. First visit  quiet environment. Different from other hot pot as this restaurant serves more premium meat., 10 July 2018,4,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,A good choice to eat Hot Pot,Cosy dining environment and Friend service staff are the first impression left to me of City Hot Pot. After tasting the soup base and food material  I felt like it’s very suitable for local Hot Pot lovers. A good place to dine with friends or, 9 July 2018,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,a hidden jade in Raffles Place,a hidden jade in Raffles Place..love it! fresh food  goodlooking guy who s the boss was so lovely  good service!!!, 1 July 2018,5,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,MUST TRY,Personally feel this is the BEST Hotpot in town. Fresh food good service what a nice restaurant!MUST TRY, 1 July 2018,5,Beijing  China,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,a wonderful place to visit!,a wonderful place to visit! with delivious soup  high quality food  friendly service and good view of CBD  i had a great dining expericen here with my friends., 29 June 2018,5,Beijing  China,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,The wagyu was not right,I went for lunch after hearing that this place serve nice meat  seafood n flavour soup base. Was quite disappointed with the wagyu and fish that I had order.. the fish was so tough and wagyu doesn’t convince me the meat is wagyu at all. , 27 June 2018,3,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Highly recommend!,I really fall in love with their double flavour soup case  the refined Sichuan spicy and the Tomyam soup. I never ever found such a great taste in Singapore before. And also they are famous for fresh seafood at very affordable price., 24 June 2018,5,Beijing  China,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Good steamboat place,The hotpot here has many local flavours to choose from. Do try the lu rou fan option. The servings are generous and there are many sauces to choose from. Good and affordable prices with good service. Highly recommended., 22 June 2018,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Amazing taste!,I will definitely recommond my freind to visit city hot pot during their trip to Singapore. They provide variety of soups with southeast asia receipe. The taste of the soup base still rolling in my tongue. everyone should try it!!! And the service is awesome, 22 June 2018,5,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,thumbs up ! amazing dish!,Their food are great! I like the cozy moment spent with my hubby at their window seat duiring the nightfall. A wonderful dining experience., 22 June 2018,5,Brisbane  Australia,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Highly recommend for meat lovers!,Good quality meat with reasonable price. Really love their fish soup with milk as well! Addictive!!!, 20 June 2018,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,THUMBS UP!!👍🏻👍🏻Definitely One of the Best HotPot I’ve tried in Singapore!!👍🏻👍🏻,THUMBS UP CityHotPot!Great dining experience in City HotPot-in the heart of CBD!Definitely one of the BEST HotPot Shabu Shabu in Singapore!Very welcoming  clean & nice ambience I chose the window sit to enjoy the scenic Raffles Place view.Love their Milk Fish Soup it’s very rich smooth & flavoursome!Seafood, 16 June 2018,5,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Highly recommend for Hot Pot Lovers,Been a regular at this restaurant for some time and I left each visit with a satisfying and fulfilling experience. With a wide selection of very fresh seafood  meat and vege plus variety of soup bases and sauces  it’s always been a rewarding dining experience, 15 June 2018,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Not worth it!,Terrible service  expensive for what we got  and mediocre hot pot. There has got to be better hot pot options in a food mecca like Singapore. Other than a terrible meal on Garuda Airlines  this was my worst meal experience of our 2 week vacation, 15 November 2017,2,Gilbert  Arizona,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,FRESH   GOOD SPREAD OF PORTION,friendly staffs that give good recommendation. love the soup base - tomato ones especially  overall soup base good sauces are a must to have and most of them are fresh ALL of the food spread are fresh ! reasonable pricing  brightly lighted. choose the window, 28 October 2017,5,Sentosa Island  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Best local hot pot in Singapore,I have been living in Singapore since 2010  and personally I love hot pot a lot and tried many hot pot restaurants. While I recommend city hot pot as the best local hot pot  not only because the taste is very transitional  but also the, 8 September 2017,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Tasty hoptop that should not be missed at Raffles,One of my favorite places to eat Hot Pot. Their foods are clean  the atmosphere is nice and the price is reasonable. Let's talk about Soup first. There are varieties of soup to choose and my personal favorite is Spicy soup. According to my wife , 14 August 2017,4,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Highly recommended restaurant,It has a very nice environment and fresh foods with reasonable price near MRT station and in the shopping mall  convenient and easy to find the restaurant  Highly recommended., 12 June 2017,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Tasty hotpot lunch,Came here for lunch today with some friends. Quite busy but we had a reservation so no issues getting a table with a nice view out over Raffles Place. Good selection of vegetables although the meat had too much fat. Efficient service but unfortunately no, 8 June 2017,3,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Great hotpot not to be missed in Raffles,The soup base is strong and blends really well on all the ingredients choice available on the menu. The meat cuts are really some of the top value cuts. Would highly recommend anyone around there who wants to have a great value for money hotpot., 27 May 2017,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Hidden gem in raffles place,We found this place hidden gem on the level 4 of one Raffles Place Mall during the weekend  we were surprised by the quality of food and excellent service  the fish and milk soup was recommended to eat with Australian Wagyu beef  the seafood offered, 7 May 2017,5,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,So satisfying!,Didn't knew that there's a gem at Raffles Place! Visited this place first time today with my colleagues. We each ordered different soup base i.e. tom yum  chicken soup  vegetables soup  and fish milk soup. I had the herbal chicken soup and I really love, 25 April 2017,5,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Confortable Ambience and Reasonable Price,Visited once in December 2016. Price was reasonable and ambience is comfortable. Just alittle squeezy. Serving was reasonable with the price. Good place for dinner after a long day of work with your colleagues., 2 February 2017,3,Singapore  Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
City Hot Pot Shabu Shabu,Good soup base  but a little pricy,The soup base here is really good. I tried the tom yam and the fish milk soup base and boy it was lovely to cook the carbs last in the soup and let the carbs absorb all of the goodness in the soup after you, 9 January 2017,3,Singapore,$$ - $$$,#2 859 of 10 434 Restaurants in Singapore
