"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Jing,November dinner,Wonderful location  excellent food. Having dinner outside it was possible to enjoy the view of the bay in front and relevant shows every hour. Good for any fish  crab selection was extremely good  not in chilly and pepper sauce. The best mix of sophisticated atmosphere, 1 week ago,5,Besana in Brianza  Italy,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,Poor quality food and overpriced,You can find much more value offers along Fullerton sidewalk The restaurant separates 2 menus: printed one only text with price and the other in ipad with picture and NO price. You might order with no awareness of their overpricing, 2 weeks ago,1,Hanoi  Vietnam,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,A perfect evening,Great seafood place located at One Fullerton. Right opposite Marina Bay Sands so perfect place to watch the light and fountain show The food was very yummy. We had Chilli crab and they provided us with everything we needed to tackle the crab including bibs , 3 weeks ago,4,Melbourne  Australia,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,Expensive food and drinks and terrible quality,This is not a good representation of Singapore  expensive food that is below average standards. Singapore has plenty of way better places - walk on past this place and save yourself the time money and frustration - wish I had., 3 weeks ago,1,Singapore  Singapore,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,Dinner with a view,Efficient service. Good sized servings. Lovely food. Great location. Needs a little more spice as flavours were very basic., 4 October 2018,4,Sydney  Australia,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,A destination for Seafood lovers!,The location is great and seafood was  we have had the best seafood night at Singapore. The Indonesian Chili Crab was a star  perfectly cooked and tastes like heaven  grilled prawns and butter garlic Seabas were both great too. The only negative point is that, 28 September 2018,4,Vancouver Island  Canada,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,great view,great location and seafood very fresh and a bit expensive  and can recommend and will come again.great location and seafood very fresh and a bit expensive  and can recommend and will come again, 24 September 2018,4,Singapore  Singapore,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,Great Dim Sum!,Consistent high quality Chinese food that never fails to amaze me and my guests! Peking duck was tasty!, 25 August 2018,5,Singapore  Singapore,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,A rip off restaurant,I have given this two stars simply because the food is reasonably good. But it is so over priced and what really irritated me was they bring some nuts and towels to the table and then you find you've been charged for them. We had, 9 August 2018,2,Singapore  Singapore,$$$$,#1 852 of 10 434 Restaurants in Singapore
Jing,Overpriced & Uncomfortable Atmosphere,The food was good but otherwise  we did not have a great experience at this restaurant. It's in a great location by the water  so that probably justifies the prices but we ended up paying S$225 for a fried soft crab starter  a fried fish, 26 July 2018,2,San Francisco  California,$$$$,#1 852 of 10 434 Restaurants in Singapore
