"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Kok Sen Restaurant,Re: welcoming back dinner,I was brought to this place where there is a wide Cantonese food choices. As I missed claypot dish so much my friend recommended that I choose Yong tau fu claypot. It revived my palate. The other two dishes were fried spring onion / ginger, 5 days ago,5,London,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Kok Sen Restaurant (cantonese cuisine),Kok Sen  well-known for it's local cantonese cuisine  is listed in the Singapore Michelin Bib Gourmand Guide. Located at no. 30 Keong Saik Road in Chinatown and 5 mins walking distance from the Outram Park MRT Station. Recommended local dishes include their signature Claypot Yong, 4 weeks ago,4,Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Review by Dr H C Matthew Sim - Good Food. Poor Service. No Air-Con. You need to Share Table.,Review by Dr H C Matthew Sim. Good Food. Poor Service. Waitress did not know what you ordered on a shared table. There is No Air-Con. You have to Share Table with strangers if there is only 2 of you. Go in a group of, 6 October 2018,4,Singapore  Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,KOK SENG COFFEE SHOP RESTAURANT  SINGAPORE,This restaurant is well known to most SINGAPOREANS  who loves good fod at reasonable price  BUT forgo AMBIENCE!!! The eatery started as a small stall in the corner of a small coffee shop near CHINA TOWN. It is a FAMILY run eatery and serve mostly, 4 October 2018,4,Singapore  Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Tasty! Must have Har Cheong Kai,Came here for a friend’s birthday on a Saturday evening. Thankfully  we had a booking. Otherwise the queue looks set to be a 45 minute to 1-hour wait. The group ordered a lot. There’s the signature prawn Hor Fun  prawn noodle soup  Har Cheong Kai , 19 August 2018,4,Singapore  Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Local favourite,super love the zichar food here. food is served fast  we had the Big Prawns Hor Fun  Niang Dou Fu  Roast Pork Kailan and mince meat omelette. must try dishes. wait was long though but people are willing to do it for the food quality., 18 August 2018,5,Singapore  Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Nothing to shout about,Visited this place with family after recommendation by friends. Ordered their popular dishes. Serving of dishes is not by table. Believed the Chef cooked in volume and then divide it according to the tables who ordered similar dishes. Hence  eating was interrupted as the flow, 24 July 2018,3,Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Mouth Watering Family Meals,Patronise twice within a month weeks apart. Everything whipped out from this place is delicious. The curry fish head  prawn paste chicken and sum lor Hor fun is a must try. This place as well allows to BYOB but you have to bring your own, 15 July 2018,4,Singapore  Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Worth the wait.,Easy to find by the number of people. We turned up looking like a couple of lost tourists (which we were) and were immediately seated outside. Got bowls and condiments then a wait for drinks  then waited for menu. Long wait for food when finally, 5 May 2018,5,Yeppoon  Australia,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
Kok Sen Restaurant,Excellent zi-char  if only we could get seats or service,Kok Sen restaurant is one of my more recent favourites where local zi-char/food is the interest. I usually see how well the restaurant can do the most basic dishes  like stir-fried kailan (Chinese version of kale) - and they do it very well  along with, 5 April 2018,4,Singapore River  Singapore,$$ - $$$,#1 155 of 10 434 Restaurants in Singapore
