"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Manhill Restaurant,Nice Chinese foods,Old and good traditional Chinese restaurant. Must try their paper wrapped chicken  friend large prawn in superior soya source., 5 days ago,4,Melaka State  Malaysia,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Welcome home celebration,A variety of food to choose from. The food chose by my family was palatable and delicious. I will return again., 6 days ago,5,London,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Rude,We were a table of 40 people in your restaurant on the 2nd floor. I approached the waitress and ask for red  green chilies and sambal. She replied rudely to me saying that this restaurant only provide green and red chilies. If I am looking, 4 weeks ago,1,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Top-quality simple and nostalgic Cantonese dishes,This restaurant has been around for decades. There obviously is a reason how it can survive in this location - no shopping  no entertainment  no MRT  limited parking (unless you walk...) in the vicinity; and without any form of advertisement. The restaurant doesn’t look attractive, 1 July 2018,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Authentic Cantonese Restaurant,Brought my hubby & younger son to try out Manhill  the old traditional Cantonese restaurant that had stood the test of time. Had known tis restaurant since the old days almost more than 30 years ago. Ambience is not to expectation but the food is, 29 June 2018,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Dinner,Change over to this place due to the hawker is under renovation  food still not too bad  took some of the food from trip advisor  kangkong  paper wrap chicken and a tofu dishes  price not too expensive for 3 pax, 4 June 2018,4,Singapore  null  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,If FOOD is the only thing you care for.,OK  OK... The service is not bad at all. But don't come here for the ambiance. Certainly not for those who would like to impress their date with a nice quiet environment. I like the food a lot. Almost everything I've ordered has been good, 26 March 2018,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Family dinner,We sat upstairs due to CNY period because downstairs was full. The service was very good and fast. Ambience is simple and public carpark round the corner. Many locals and japanese loved this family restaurant. We ordered paper wrapped chicken  noodles  veggies and bbq pork., 19 February 2018,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Food not bad but overpriced,Its dark dingy  poor ventilation. Surprisingly popular. We went on Sunday 12pm and already a few families. A small one person portion of beef horfun is $9. But cooking is good quality. A bit overpriced. If you didnt grow up eating here  you will not, 7 January 2018,2,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Good old Singapore restaurant!,Had lunch with a group of colleagues at this restaurant which has a history of easily more than 30 years. Has that old 70’s era feel when in the restaurant. Love their paper wrap chicken  clay pot liver and pork rib which has that old, 9 December 2017,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Authentic local cusine  good service,My family have patronised this restaurant for literally half a century  from the time when it was located in Cantonment Road and was known as Hillman. It moved to Pasir Panjang decades ago; I have seen it develop from a basic coffee shop to its, 22 November 2017,5,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Terrible food Horrible service,We ordered the Pai Gu Wang and the meat was deep fried harden and burnt. We also ordered the beef brisket and the meat is tough. We arrived at about 9pm and the food was quickly served. At about 9.30pm  the waiting was pacing along, 16 November 2017,1,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Solid Cantonese Food!,Had been eating the food here for 40years! Very good paper wrap chicken  pork rib king  dry fried prawn  corn carb soup  balachan kang kong vegetables   dry fried noodle....cant find this taste anywhere!, 11 November 2017,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Good find  good food!,Tried this place for the first time today with family  had randomly chanced upon this place via trip advisor as was looking for a Chinese zi char near home. It's surprisingly good! Parents commented that there's 'wok hei'. Will definitely come again., 3 November 2017,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Happy family gathering,Been visiting this restaurant since the seventies . Best food and good varieties. Been eating it since I am pregnant and now my son in his thirties is enjoying it too., 14 September 2017,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Top 3 Dishes Keeps on Giving!,~work or family this is just the stop for good old fashion Cantonese food Order the Claypot Tofu  Sweet & Sour fish slices & Pork Ribs Emperor  I've multiple reviews and photos to bat! Always Satisfying!, 7 September 2017,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Food hunt,Although not attractively decorated  the restaurant produces fresh fish head soup which is their signature dish. Inexpensive and have a variety of dishes., 20 May 2017,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Classic Cantonese claypoy,This restaurant is here for the longest time. I remembered visiting this restaurant since I was a lil boy and I'm already in my 40s. Great claypot dishes and you must try the claypot noodles and claypot liver. The stir fried Kai lan was amazing, 9 April 2017,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Restaurant with old world vibe and good food,Having a meal here brings one back in time as this restaurant has been established for many many years and its decor has not been updated to keep up with the times - quite charming  I find. The food here is reasonably priced and very, 17 March 2017,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Manhill Restaurant,An expensive in the western part of Singapore. The signature dishes are the claypot beef brisket and chicken. Value for money. Not much parking spaced in the area and the place is close to the MRT., 12 March 2017,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Worst dinner for closing the new year,Just no good! This place is only suitable for people who are Japanese tourist or people who have been their loyal clientele. Sorry but it spoilt our dinner., 11 February 2017,1,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Family Restaurant which never disappoints,I have been going to this family restaurant since 1970s and I'm so glad this is one of the few places that has survived. Like every restaurant the cuisine quality goes up and down but only the prices have gone up. However its still value, 30 January 2017,4,Singapore  null  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Traditional Chinese restaurant,A place that is popular with Japanese. Food wise is typical chinese chi cha. I love their claypot liver  wrapped chicken . However their standards hv dropped recently and 1 pax is around $25 - 30., 15 November 2016,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Good for Family Gathering and Old style Chinese Food,I have been to this restaurant since very young  the food was always tasty. Last time I felt that it had a lot of MSG but the recent visit to the store at Pasir Panjang  the MSG feeling is gone but the same good taste, 20 October 2016,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,A wonderful place for the family and dog to go for Chinese dining,How can I add to the compliments already shared by others within Tripadvisor? I've lived in Pasir Panjang for 10 years and passed this place by to eat at the new shops cropping up in the area as the business section creeps down from Alexandra, 17 September 2016,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,My family's unanimous choice,Every time I come here I have the “balik kampung” feeling – the building  the deco and even the waitress is aged but just like “balik kampong”  it does not make one feel uncomfortable. And the food …… oh ! the food is just so, 6 September 2016,5,Ipoh  Malaysia,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Nice food for family,Manhill  hillman    Food tasted good. Paper chicken  sharksfin egg omelette  pork ribs  salted fish with beans sprout  clay pot noodles  Had my children with me this tine instead with Japanese colleagues. They enjoyed the food very much. Parking here easier than at kitchener road., 4 September 2016,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Nice paper wrapped chicken resturant,Place is near to Mustafa centre.. One of Great paper wrapped chicken resturants in Singapore. Make sure to make an appointment before you go there with more than 3 people., 17 July 2016,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Cantonese-style home cooked food.,The Manhill Restaurant is one of our favorite places to dine  especially whenever we are stuck for somewhere to go for dinner. Sited along Pasir Panjang Road  one can easily miss the place  which looks like any run down shop house. For seating  they have, 27 June 2016,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Back for More Satisfaction!,~simply wonderful home cooked meals since 2015Oct  I'd been back Nov & 2016Jan  this review covers all 3 visits ~consistently great food  great taste with my workmates and family tested happy with the food ~sweet & sour fish  emperor pork ribs  paper bagged ginger chicken , 19 June 2016,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Amazing traditional style cantonese food in Singapore,Great Cantonese food that you can't find it in China or HK  simply delicious old style cooking. The paperwrapped chicken as well as the crabmeat tofu are all very good., 10 June 2016,5,Hong Kong  China,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Delicious paper wrapped chicken and quaint decor from the past,"An enormous  portly man with black curly hair all over his body wearing a tight-fitting red leotard with sweat dripping all over." I kid you not  this was the immediately picture that came to mind when I first saw the restaurant name - Manhill Restaurant., 3 May 2016,3,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Traditional cantonese claypot dishes,We usually order these regular dishes. Clay pot chicken  clay pot tofu  pork rib  beef hor fun and they are quite consistent most times. Service is extremely polite with a matured lady  younger lady and a Chinese national male waiter. They still have local/Malaysian cooks, 3 March 2016,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Inconsistent Standard  and not very clean,Really  go only if you live or work close by. We have been eating here since young for thirty years. Had been an excellent restaurant in the past. Their BBQ pork ribs were second to none but lost of all it's former glory though still, 18 February 2016,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,A long-time love affair with Manhill,My Singaporean friends made it a mission to introduce me to "cheap and good" (their words0 eating places in Singapore. One of them is Manhill which was first introduced to me sometime in year 2000. I have been going back to this restaurant since then , 14 January 2016,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Tuck away at the far west,Food- had 2 dishes and a fried rice. The fried rice was a tad salty. Sweet and sour chicken- we felt it was the better dish. Saute beef with vegetables. The sauce was good. The beef wasnt marinated properly and it was fried too long, 10 January 2016,3,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Nice Paper Wrapped Chicken and Claypot Liver,This is old school Cantonese food. Has been around for decades. Strongly recommend the Claypot Liver  Paper Wrapped Chicken  Stir Fried Soya Big Prawns  Toufu with Crab meat. Need to make reservations in advance. Small family run restaurant. Many old customers., 24 October 2015,5,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,A Homecoming Meal!,~A drop in to have dinner with family Our favorites Always ~Claypot Tofu ~Emperor Pork Rib ~Sweet & Sour fish slices ~Paper wrapped garlic chicken Our familiar faces grew up with these Cantonese dishes my dad first brought up to tempt and taste :), 4 October 2015,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,My Favoritest Family Comfort Foods :),~I go ever so often  ever since my dad brought me in my teens I've ordered the same dishes that NEVER change over and over :) ~He had this thing about cleanliness and told me how he'd gone to the place behind the kitchen where, 23 August 2015,5,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Good old traditional Cantonese cuisine,Once I stepped into this restaurant (especially the 2nd floor)  I was immediately hit by a sense of nostalgia - this is the type of restaurant my family dined in the late 1970's/ early 1980's! The food is traditionally Cantonese - the servers understands and, 25 May 2015,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Not your typical tourist restaurant,I was surprised when I singaporean friend took me to this restaurant. It seemed out of the way and didn't look as polished as the other tourist restaurants. I would recommend this restaurant to visitors who are keen to explore beyond the restaurants found in, 20 October 2014,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,The only claypot restaurant I still go to since I was a kid,The restaurant is not very big and that's why i like it; it has a great cosy feel to it. Manhill restaurant specializes in claypot dishes  although some of their other dishes such as the paper-wrapped chicken and hor fun are also very tasty. I, 17 February 2014,4,Singapore City  null  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Excellent food!,We have been patronizing this restaurant for since the 80s and grew up on the regular dishes like the beef claypot  fish head claypot  stir fried vegetables  roasted chicken etc. Each dish is well prepared and the service is homely and pretty decent., 4 December 2013,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Don't judge a book by its cover,Friends who love here in Singapore took us to this little gem in 1994 and we just returned again tonight. It is well away from the tourist traps and definitely does not present as much from the street  but  if you accept the low budget, 18 September 2013,4,Narooma  Australia,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Good old-fahioned claypot  stir fries,Yes  the claypot dishes at Manhill and its sister restaurant Hillman on Kitchener Road are very good  especially the beef brisket. Generous amounts of sweet small onions and garlic are included in the gravy  unlike other claypots these days that tend to be rather bland, 20 July 2013,4,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Nostalgic Cantonese Home Cooked of Chinatown.,Friends from Medan North Sumatra Indonesia came for holidays in Singapore last week.They insisted to dine at Manhill Restaurant located along Pasir Panjang Road  right at the front of our busy Singapore sea port. We ordered the popular Fish Head Soup  Mustard Green stir fried with crab meat in, 24 January 2013,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Paper wrapped chicken,This place is over priced for its food. The paper wrapped chicken used to be one of the best in Singapore. However  their standard has been dropping trough out the years. Not worth visiting unless you are nearby., 23 September 2012,3,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Claypot cantonese cuisine!!,Cantonese cuisine is one of the best Chinese food served. MANHILL restaurant is one of the best remaining Claypot cooling in Singapore. Parking is easy at a nearby public parking. We ordered claypot fish head  Claypot pork ribs  Claypot chicken and Claypot vegetarian dish. We, 27 July 2012,4,Singapore City  null  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,ManHill Reataurant Pasir Panjang Road,Food was delicious. Need to make reservations especially during weekends and dinner time. Price was reasonable. Love the paperwrapped chicken. Can visit again., 15 January 2012,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Tradition,This restaurant has been around for more than 20 years. I still remember those younger days when my parents will bring us here for a weekend dinner. Now that I am already in mid-thirties  we are still visiting this place for our weekend dinners once, 22 December 2011,4,Singapore  Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,Excellent clay pot beef!,Family run business that is always full of customers and provides excellent service., 10 October 2011,4,Connecticut,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
Manhill Restaurant,the branch for Hillman Restaurant - traditional Chinese - Cantonese food. The Paper Wrapped Boneless Chicken is...,the branch for Hillman Restaurant - traditional Chinese - Cantonese food. The Paper Wrapped Boneless Chicken is finger-licking good. The chinese cooking wine & various spice marination + juice following out... yummy yummy :-D 6 pcs for $12  but this is better value than the, 12 March 2010,3,Singapore,$$ - $$$,#1 086 of 10 434 Restaurants in Singapore
