"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Noodle Place,Disappointed,Hungry after shopping  thought we'd duck in to a place that is not crowded yet for quick dinner. Not cheap and although a wide varied menu  portions were small and quality inconsistent  Roast Duck was quite good but the other dishes were marginal at best, 1 week ago,3,Brisbane  Australia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Disgusting,Nothing to say  the noodles were just dried like the ones you can buy in the supermarket. I could’n even eat them. The beverages arrived 10 minutes after the noodle. So  don’t go there  check TripAdvisor first cause it could be helpful ;), 4 weeks ago,1,Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Quick bite for dinner,Dropped in for a quick bite to eat and was pleased with what we were served. The staff were generally friendly and attentive  but the restaurant was almost empty when we dined; although it was quite late. If you’re after a quick dinner this place, 6 September 2018,4,Frenchs Forest  Australia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Luncheon,I ordered an wanton noodle soup and my wife a combination of Charsau and roasted barbecue. Taste for wanton soup almost like from Hongkong but the portion is little for the price . As for the combo  roasted barbecue taste good and charsau not up, 3 September 2018,2,Kota Kinabalu  Malaysia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Brunch for Wonton noodle and congee,Went there for brunch and had their signature Wonton soup noodle while my partner had congee. The taste of the noodle is close to those i ate in HK except they didn't put any spring onions. My partner had the congee and she said the, 21 June 2018,3,Singapore  Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Avoid,Stepped in here for lunch. Waiters here know nothing about the food. They were keen to know the dish code in the menu and showed no interest in what we ordered. The Garoupa belly and sautéed broccoli were ordinary and the portions were small. Food, 21 March 2018,2,India,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Had to pay before the food was served,We where there last week with 4 persons and ordered drinks and food. Before the food was served the waitress came to our table and asked us to pay the bill. We try to explain that this is totally unusual but she insistet. Because we, 8 March 2018,1,Frauenfeld  Switzerland,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Just so so,Quite ok  the portion is small  so consider kind of expensive! Herbal jelly is a must not order  yuk :( The rest is just so so, 22 December 2017,3,Hanoi  Vietnam,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Didn’t get served so just left,Well my review is short and sweet. Went in  got seated by a staff member  sat down for 20mins and wasn’t even asked if we wanted a drink. Then left. Didn’t eat there. Wasn’t wasting any more time. They seemed more interested in cleaning the, 2 December 2017,1,Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,So Authentic  So Good,We were shopping around this area when we saw this place. We had a wonderful sumptuous lunch here. The food was so deliciously good  very authentic Hong Kong style cooking. For a moment I thought we were having a real meal in Hong Kong. This, 22 October 2017,5,Kuala Lumpur  Malaysia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Alarm bells should have gone off when we saw the place was nearly empty.,This place is clean and in a good location  however  that's where the positives end. It is overpriced for what you get. The serves are very small and the quality of the food ordinary. The staff appear to be not enthusiastic about working here. When, 25 September 2017,2,South Australia  Australia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Hong Kong Style Quick restaurant,You get wanton noodle soup  porridge  roasted meat with rice and other types of Hong Kong type quick meals. Prices are mid range and taste is acceptable. No wow factor but a decent meal and generally quick. I had their Pork and pitan (century egg), 11 August 2017,3,Singapore  Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Food is good  but service attitude way below average,Food is good  as good as anywhere else these days when good food is available even in food courts. However the service staff makes the entire dining experience sour right from the very start at the stage of ordering. Totally indignant devil-may-care attitude which puts, 8 July 2017,2,Singapore  Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,A Taste of Hongkong,The place offers authentic Hongkong cuisines specifically noodle & congee cuisine in a casual dining ambiance. We tried the famous fried hokkien. The price though maybe pricey but what can you expect in Singapore? What really stand out is the efficient customer service from the, 27 June 2017,4,Philippines,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,CHECK if extras placed on your table are complimentary- or better still go elsewhere!!,We only stopped here because Miss 4 really wanted noodle soup but even she was not impressed with the insipid bowl of broth and noodles that was delivered and didn't eat more than a couple of mouthfuls Service was non existent (we had to go, 27 June 2017,1,Melbourne,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Above average.,Great place at Orchard with plenty of menu options. Went there with some Chinese colleagues that loved it. My food was good but I had issues with the bonrs in my chicken  especially because I am not an expert with chopsticks. Nevertheless very tasty! Also, 6 June 2017,4,Knokke-Heist  Belgium,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,A quick dinner that was disappointing,Stopped in for a quick dinner  ordered the Braised Chicken in Garlic which was grisly  I left most of it., 6 June 2017,3,Adelaide  Australia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Chinese restaurant in e midst of modernity,Nice decent Chinese restaurant with great wanton noodles. The broth is fantastically delicious. The prices are reasonable and the staff is friendly & efficient., 22 May 2017,5,Singapore  Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,depend on the menu you choose,noodle place mainly serve hongkong cuiseine which include BBQ meat and congee. I ate there twice  the congee and fried dough were excellent but the bbq meat need more consistant, 19 May 2017,4,Malang,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Good noodles roast meats,Rating as average as I only managed to have noodles and roast pork/duck. One of the most important factors in noodle places  especially Hong Kong and Singapore  is the right way of cooking the noodles. Noodle Place does it right for the noodle texture  and, 17 April 2017,3,Walnut Creek  California,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Jest sweet and sour chicken!,Lovely place to eat  not too expensive and they do the best sweet and sour chicken I've ever had! Staff very friendly too, 17 March 2017,5,Barnsley,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Hong Kong Cuisine,Called here on our last night in Singapore  when visiting the Orchard Gateway on Orchard Road. Offers decent authentic Hong Kong food without the need for visiting Chinatown. I tried the Signature Noodle/Hor Fun  and had a mixture of Shrimp Wanton and Dumpling  which was, 22 February 2017,4,Manchester England,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Terrible service,They put nuts and pickles on the tables with no choice we thought they were complimentary. Do not take them unless you want to pay extra $3. The wet towels are not free either  They charge for them too. Then went to order our meal, 21 February 2017,1,Launceston  Australia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Very very bad,Location is good. Interior design looks not bad. Now about food... i ordered noodles with pork ribs and roasted pork and duck. Food on plate looks is not same as in menu picture. Roasted pork and duct definitely half size less compare with menu picture., 18 February 2017,1,Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Good food,Fast and efficient service  and a good cuisine make it a good place for a quick lunch. Authentic HongKong food., 19 January 2017,3,Toorak  Australia,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Good Authentic HK Congee and Noodles,Craving for good HK congee and noodles come to Noodle place at Gateway Orchard. You will be able to reach here via Somerset metro station. I chose the special congee with prawn liver meatball cuttlefish pork maw pork with 1 raw egg and scallions..... the, 2 January 2017,4,Singapore  Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,C-grade experience,The mark of a great restaurant is never about the food alone. It's always about the experience that can only be provided by its staff. The food may be acceptable but the experience is poor. No smiles  don't pay attention to details  customers not first, 27 December 2016,2,Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Nice but often crowded,Nice little place. I went there twice  the first time for dinner with a friend and the second time for lunch on my own. This was the branch at Orchard Gateway. I tried some Seafood noodles  slightly crispy with assorted seafood with a light and, 27 December 2016,4,Mumbai  India,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Ate here twice,Very reasonably priced Chinese food  lovely staff we ate here twice and were pleased. Get used to chopsticks. it gets very busy early evening, 21 November 2016,4,uk,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
Noodle Place,Light and tasty noodle,Strategically located in the middle of Orchard  this restaurant will recharge your energy and make you ready for your next trip. The noodle are light  the soup are goods and you will look for it again in your next visit here., 8 November 2016,4,Singapore,$$ - $$$,#8 160 of 10 434 Restaurants in Singapore
