"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Riverside Grilled Fish,Yummy grilled Patin with black bean sauce,First time eat Patin fish. Choose grilled Patin fish with black bean sauce was yummy but service was average., 1 week ago,4,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Excellent food and service crew,We were very pleased to have our dinner here. The food was delicious  portions sufficient and waiting time for the grilled fish and dishes was around 10 mins upon ordering. They serve non spicy grilled fish too. The service crew were helpful and friendly. We, 7 September 2018,4,Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,very different to the steamed fish we are used to in Southern China/ Cantonese cuisine,The restaurant is run efficiently food arrived quickly and is cooked well. As long as you mark in the fact that Singaporeans rarely expect you to tip over the service charge (many countries do) you should be able to stomach the small price they charge, 22 August 2018,4,Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Great tasting pomfret!,This is my favourite hangout with friends and family. I love their spicy Mala pomfret best (always so fresh) topped with beancurd skin  sotong balls  meatballs and golden mushroom. Another of my favourite side dish - pancakes!!! Don’t miss that!, 22 August 2018,5,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Good fish,The best fish stew I ever eat. I ordered we bass fish with super spicy level. The soup was great and the fish so fresh. Really enjoyed some here. Should try when visit raffles city Singapore., 6 August 2018,4,Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Great-tasting fish  fast service,Genuine Chinese flavors  and really good fish. You order on an iPad and the service is really fast. I can recommend the dishes for 2 or more  which come on a plate and continues being grilled on your table while you eat. The "Signature Fragrant", 28 May 2018,5,Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,First meal in SG,First meal in Singapore which is average only. The only amazing thing is ordering food from iPad which is very convenience. If you ask for warm water  they will charge you SGD0.50 For the wet tissue  they will charge you SGD0.30, 1 May 2018,3,Central  China,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Super Spicy "Signature" Dish,The staff was helpful & efficient. We tried the "Signature" dish with spicy mala sauce. The waitress warned us about the the sauce being very spicy  but we thought that we would be able to mange it if we ask for "less spicy". WRONG! It, 8 April 2018,3,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Interesting fish & delicious chilled la mian,The serving of the fish looks big because the fish is sliced into two and laid flatten on the grilled. Even though we had requested for less spicy  it is still very spicy and challenging  exactly like mala. No free water  everything is charged. Crunchy, 16 March 2018,4,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Nicely presented fish meals,Specialises in large fish meals. Nice presentation  guite hot/spicy. Somewhat varying quality  but quite good if you are into this kind of food. Ended up eating there several times., 12 February 2018,4,Trondheim  Norway,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Tasty and Authentic,We tried this dish several times during our visit to Guangzhou last year and thoroughly enjoyed the chili and spicy taste. Then we chanced upon Riverside Grilled Fish in Raffles City. We ordered the standard fish with enoki mushrooms and lotus root as add on., 7 January 2018,4,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Not bad,An interesting experience where you chose your dishes from an I pad. We chose the option of not so spicy fish which was more than enough for most western palates. The fish was nice but a bit overdone. That was compensated for by the excellent, 6 January 2018,3,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Delicioius Chinese Food,Very near City Hall MRT station. You can get a very good Chinese food. Easy to order and fast to get it. Very clean and tidy restaurant with professional staff. Strongly recommended., 15 September 2017,4,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Excellent Szechuan Experience,Come for more than the fish! While visiting Singapore  we stopped into this restaurant since we found it to be more interesting than the Din Tai Fung at the end of the hall. Since we like spicier foods  we found ourselves more or less in, 14 September 2017,5,New Jersey,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Not my choice again,We were looking for a nice decent lunch and wanted to go to Din Tai Fung  but the line was too long . Next door looked very appealing and lots of seats were available so we decided to give it a try. But it was, 14 August 2017,2,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Nice grilled fish!,Riverside Grilled Fish - This restaurant is an offshoot from the branches in China  and the standards hold up pretty well. This was our second trip and the grilled fish of seabass in 'fragrant sauce' doesn't disappoint. We also managed to tried the 腊味炒饭 and, 22 July 2017,4,Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,VERY GOOD FOOD,Very Asian very authentic excellent service and friendly staff I think we were the only non-Asians in the restaurant but the staff were very friendly and helpful, 2 July 2017,4,Perth  Australia,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Let have lunch,Visit the outlet over weekend. Was surprised not to see a crowd for lunch. Maybe already was late at 1pm. Am glad to try out the restaurant as the food especially the grilled fish was very good and authentic. But for those who can't takr, 25 June 2017,5,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Delicious food Fast service,The signature spicy grilled fish tasted really good. We are glad we asked for less spicy and it came out just right. Otherwise it may be overpowering for some. This dish goes very well with steamed or fried rice. The braised chicken dish was also, 5 May 2017,5,Macau  China,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Riverside Restaurant not in Riverside,It is nice try having lunch ordering spicy noodle with beef. Beef is well cooked and tender but Chinese spice taste is abit not my type. Charge for water although they are charging for service charges and I don't find any services rather than having, 27 April 2017,3,Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Great fish  chicken and duck,Ate with two friends at Riverside grilled fish. All the dishes looked great around us and we very much enjoyed our own dishes (duck  chicken and fish). The rice was awesome too., 9 April 2017,4,Rotterdam  The Netherlands,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Chinese Chauvinist Restaurant with Mediocre Food,The menus here are 95% in Chinese  so if you don't read Chinese  the prose written on each dish will go way over your heads. The staff aren't good at translating each of the items from Chinese. I liked the sunflower seeds they served as, 11 March 2017,2,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
Riverside Grilled Fish,Novel meal at the one and only outlet in Singapore,This was a pleasantly surprising delicious meal with a twist. The fish was great  containing surprises underneath. The sauce was a great complement to the fried rice with vegetables we had. We will be back soon!, 21 January 2017,4,Singapore  Singapore,$$ - $$$,#1 927 of 10 434 Restaurants in Singapore
