"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Xi Yan Shaw,So so,Service is not bad  place also good  but the food just so so only. 菜色清淡，吃不出有什么特别之处，普通的请客吃饭因为地点的关系还可以, 3 weeks ago,3,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Consistently good,I have always enjoyed my meal here. The ingredients are of good quality and the dishes are deliciously tasty and most importantly consistent. Highly recommended., 4 weeks ago,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Dinner 3 paxs,After a while since I last came here must I say its still one of the better restaurants around for authentic chinese food. Definitely keeps up its reputation and standard. Had the xo sauce mee tai mak  prawn noodles (special promotion) dan dan noodles fried, 23 August 2018,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,nice food,the food is good especially the okinawa ribs . like the sauce very much. but the seating there is too narrow., 26 June 2018,3,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Thumbs up!,Celebrated Father's Day at Xi Yan. Food was yummy  service for great and the price was reasonable! Definitely coming back for other family gatherings, 18 June 2018,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Excellent food,We went to this restaurant by accident. Usually  we will either choose a restaurant which we had frequent or places that were recommended by others. It is quite seldom that I can bump into such a good restaurant and yet we walk out saying that, 15 June 2018,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,A different kind of Chinese food,I found the food quite different from what I would get in other Chinese restaurants in Singapore. They offered different portions and we ordered many dishes with the smallest serving. Every dish that we tried was very good. The food was a bit oily. The, 13 June 2018,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Dinner after Cinema,Tugged away on the third floor of Shaw Center  one can mistakingly walk by this restaurant. A small restaurant but the food is somewhat unique Chinese restaurant. We began with jelly fish and cucumber in sesame wasabi sauce (served cold)  steamed cod fish with white, 2 May 2018,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Family dinner,First time there and the place is small so recommended to call first and make bookings. Food was delicious and we wanted to try all dishes but with four of us is impossible so we are coming back again. The menu is a mixture of, 25 March 2018,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,No Xi’an fish maw at Xi Yan Shaw,Not only the food is innovative with interesting  modern interpretations of traditional Chinese cuisine  but the dishes are also scrumptuous. It’s a bit hidden  so it attracts a mainly local clientèle. Don’t miss the signature dishes  like salivating chicken  deep fried pork belly  rice in, 9 March 2018,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Reasonable price with good food,Reasonable price with good food. The restaurant is pretty small and thus the service from the servers are good and they are attentive., 4 March 2018,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Excellent food  value for money,Enjoyed almost every dish ordered! The vegetables with eggs three way was really delicious too. standard portions were good for four to five ppl to share., 12 February 2018,5,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,SHC,Xi Yan Shaw is having a different approach and image as compared to Xi Yan Private Dining in Craig Road. Xi Yan Shaw is focusing on casual dining for family and small gatherings with lower pricing and wide variety for the diners. Out of the, 27 January 2018,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Great service great food,Prompt And courteous service. Food was good. Serving size is good for small groups. Good place to gather friends., 20 January 2018,5,Sydney  Australia,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Yummy food,I am back to Xi Yan Shaw again as the food is tastefully creative with new dishes and affordable. Service is not bad., 15 January 2018,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Average HK style food,It was our first time to Xi Yan restaurant in Singapore though we have been to a few of their outlets in HK. The one in Singapore has been localised I reckon to suit the local tastebuds. However the service was good but food was, 9 January 2018,3,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Superb dishes,Ordered the dan dan noodles and the Yong Dao fu soup. It was superb. I didn't have the msg effect though the dishes are tasty. My first visit as recommended by my frd at this branch and will visit again., 27 December 2017,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Ready to Close Down,Had lunch on 27 Dec  restaurant was 50% full upon our visit  only 2 waitress on duty. Stood at entrance for 5 minutes  in the end walked in and asked for 2 seats. All customers had to look for waitress in order to place order., 27 December 2017,1,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Good but tad noisy,Nice food though portions rather small for the price. Service adequate but rather noisy given the open setting and low ceiling., 26 December 2017,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Family dinner,We had the daily soup  steamed cod on rice noodles etc and tang yuen for desserts. Restaurant was full and noisy!, 25 December 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,a regular at XI Yan  tasty food at affordable prices,not my first time at XI YAN SHAW  tried their fried rice this round  its extremely tasty and portion was gd enough for 3 pax. their coconut ice cream dessert with pudding was quite gd as well., 20 December 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Cool,Great foods all tge fiids are very nice... Clean place soft music..... Nice stuffs cool.. We'll come again., 14 December 2017,5,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Good,the food was good  except for the salted egg squid was quite disappointing. the price is reasonable. this is singapore  short-handed is common., 11 December 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Good quality food,Visited Xi Yan Shaw again after some time. The food quality is still good. We loved the steamed cod fish fillet with rice noddles. Soup of the day is also value for money. Service was fast and the staff is attentive., 10 December 2017,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Simple traditional dishes,Food was served quite fast considering the night crowd. Food was presented well. We like the fried beehoon w pork leg very much., 10 December 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Value-for-money,Was trying to find an affordable place for lunch with the kids but not more of the same-old. Decided to go back to Xiyan. The restaurant delighted us with its Hakka food. Tasty. Kids loved it., 10 December 2017,5,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,The whole place is too cold for comfort,Service and food are both good but the whole place is simply too cold for comfort. The food turned cold after 3 mins upon arrival!, 9 December 2017,3,london,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Xi you soon,@TheKuoKnows Hakka cuisine is still a bit of a rarity in Singapore. It shouldn’t be. But it is. Xi Yan Shaw on Scotts Road is a real credit to Hakka style cooking. It is the simplicity that makes it so delicious. Hats off to the, 27 November 2017,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Unique and a place that you will visit again,Great Chinese fusion food in Shaw Center. The Pregnant Woman Fried Rice is highly recommended. The combination of olive  dried radish and dry shrimps are perfect. Simply mind blowing due to the uniqueness. The eggplant and pork patties are good choices too., 19 November 2017,5,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Chinese Cuisine,The food presentation is OK. The general taste especially the Water Chestnut and Pomelo Salad is above average. Customer service is good., 15 November 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Experience in Xi Yan Shaw,It is a place that I will recommend - Be it with friends or family  small or big group. The dishes are unique and some are 'traditional' that remind me of home cooked food by our grannies. Don't miss out the desserts - I love, 13 November 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Excellent food,We enjoyed the seafood beehoon and the rest of the food. Ambience was nice yet casual which was a perfect setting for meet ups with friends., 10 November 2017,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Great food - always a winner with my friends,Authentic and uncommon Hokkien and Cantonese dishes with a flair - don't miss the pig trotters fried bee hoon and yong tau foo., 10 November 2017,5,singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Reasonable price,Dishes were reasonably priced and food were tasty. However  seemed to be slow in service although it is a small restaurant., 31 October 2017,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Heartwarming and delicious food,The food was very delicious  and the flavours were mostly on point. We loved almost all the dishes we ordered  and the desserts were good as well. We will definitely head back there for another meal in future., 24 October 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Reliable chinese food,Xiyan used to have dishes that are delightful surprises  but these days  it's just a nice reliable place for comfort food.The service has dipped as well  from warm and competent staff to those who don't really know their stuff and instead of finding out  try, 22 October 2017,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Not as good as our first visit.,This was our second visit and we left feeling disappointed. At 7 p.m. had already run out of their daily special  the Ginger Chicken as well as their roast chicken. The pork trotter with bee hoon was also not available. The deep fried pork belly, 16 October 2017,3,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Good food,We shared a number of dishes and were happy with them all. Most memorable was the cheese wings. Staff were friendly and efficient., 10 October 2017,4,Singapore  Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Another great experience,We came back with friends and everyone packed a dish back to share with their family cuz it's SOOO good., 6 October 2017,5,singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,"sweet" dinner,went for dinner at Xi Yan shaw. saw pictures of the dishes and decided to try out. We ordered a few recommended dishes to share. we did not like any of the dishes at all. perhaps people who enjoy sweet chinese dishes might like them???, 21 September 2017,3,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,simple and tasty food,The food is simply prepared but full of flavor. We had the salted duck  pork ribs  qing long veggies  mall tofu w preserved olives and pregnant woman fried rice. Our eyes were bigger than our stomachs! The food is full of strong flavors that are, 12 September 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Great food,Came here with my godma and we both thoroughly enjoyed the food. Every dish we ordered was good. Unfortunately we sat nxt to a very loud inconsiderate table debating a fmly issue which dampened our otherwise outstanding experience., 12 September 2017,4,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
Xi Yan Shaw,Xi Yan Shaw,Very impressive!!! Must try the fried xo sauce cai po raddish cake & hakka marinated duck with sweet sauce!, 11 September 2017,5,Singapore,$$ - $$$,#459 of 10 434 Restaurants in Singapore
