"restaurant_name","title","description","date","rating","reviewer_destination","restaurant_price","ranking"
Zai Shun Curry Fish Head Seafood,Bad customer service,Have been a customer of theirs for many years  dining in their place almost every sunday. However  their customer service attitude has been going from bad to worse. The lady taking orders is always very rude to her customers  asking them the get out of, 30 September 2018,2,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Dinner,I understand that during the morning and evening  both siblings operate in the same coffeeshop but different shifts. The menus are quite similar though the day time  they have porridge option. We ordered a fish head (HK style)  minced pork with salted egg  Bittergourd with, 13 August 2018,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Pretty good food but pricey,The curry fish head lived up to the standards but the price wise was a little more than what you can find in other places., 11 June 2018,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Yummy fish head  cannot miss,A bit far from downtown  but it is one of the popular hawker stall places  a good place to see the local lifestyles. we tried steam fish head  can be customized in Curry  Teochow.... good for the family. Boss recommended bitter melon with salted eggs , 16 December 2017,5,Sacramento  California,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Superb steamed fish!,Was here for lunch with my customers on their recommendation. Whole coffeeshop was owned by this stall. Very delicious steamed fish and their fried eggs with bitter gourd is highly recommended as well! Pig trotters was very nice too! Do try if you are around, 6 September 2017,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Fresh fishes and dishes,After winning the bib gourmand they got even more busy during lunch time. But quality of dishes and the skill of steaming the fish is still perfectly done! I hope they can still keep up with their food standard though the outlet is very crowded, 25 August 2017,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Place for steamed fish and porridge,Good food  open on public holidays! Service is good and fast. Price is reasonable. Suitable for big families and couples., 9 August 2017,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,They say Zai Shun does steamed fish best!,Come here for the steamed fish  my personal opinion...this is the "go-to" place for steamed fish..simply fresh and the steaming skill to perfection! Other recommended dishes: (1) braised pork knuckle  (2) stir fried bitter gourd with fresh and salted eggs  (3) braised 金针花（citron daylily)  (4), 22 July 2017,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Good selection of dishes,Good selection of dishes for a good lunch. Steam fish is good too. Gets crowded during lunch so got to be there early, 11 July 2017,4,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Fresh steamed fish,Zai Shun steamed fish always are the best in town. The stall are serving during till afternoon. The fried Qing long cai are very tasty and price are reasonable., 28 May 2017,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,One of the Best Places for Steamed Fish,The steamed fish are the best in town and the prawn paste chicken wing and bitter gourd fried egg are very delicious.., 20 April 2017,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Zuper Zai,We drove more than 20kms just to visit this place in Jurong East. It isn't easy to find from the street as it is located within a compound of residential buildings. Place was almost full  probably from regular clientele. There are other stalls beside it, 12 March 2017,4,Manila  Philippines,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Expensive lunch,2 of us decided to have lunch. Ordered salted egg bittergourd  hae bee hiam and shovel nose. Good was good but was disappointed that some of the dishes are 1 size (fit for 4 or more people). Bill came to almost $60 which was quite, 8 March 2017,4,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Fresh Steam Fish!,Definitely a must go for fresh steamed fish! Super yum! And i love the ngoh hiang! For all fish lovers out there  this is the place to visit. However they are not open at night  only in the day., 4 September 2016,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Restaurant quality !,If you're going on weekdays   either you go early before 11am or after 1pm  otherwise the queue for table n food can be very long. Busy is brisk as usual when we arrived just after 1 pm . We ordered steamed fish   minced, 8 August 2016,4,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Simple  Fresh & Tasty,5mins for table (lucky)  10mins queuing  10mins for small dishes to our table & 15mins for our fish head to be served.. Ultimately  Worth the wait! And definitely going back again for the super fresh fish  tasty handmade fish cake & bitter-gourd egg! So addictive , 17 July 2016,4,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Superb Lunch,You got to be prepared to wait for your dish. It's a worthwhile wait. It's good and fresh  you won't regret it., 27 March 2016,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,What have I been missing?!,Tucked away in the heartlands  this is a rare gem. We came for dinner and it's set up differently from the lunch kitchen. With a much smaller menu concentrating on its specialty - fish. Choose from a wide variety that changes depending on its suppliers., 12 March 2016,4,Singapore River  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,For those who love good seafood!,Their signature dishes are steam fish   fish maw sea cucumber. Will suggest that you need to be there around 11.30am or else difficult to find a carpark lot! A popular gathering of business bosses in Jurong! Recommend those who love good quality food with no, 10 February 2016,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,The best place for steamed fish,Superb fresh steamed fish and once awhile you can get Empurau here. Empurau is the most expensive freshwater fish and easily cost $200/kg. Steamed Giant grouper is another highly recommended dish., 26 October 2015,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,The fish was steamed perfectly,We visited this well-recommended place at around 9am  and I was hesitant in ordering steamed fish so early in the morning. As it turned out  almost every table occupied had order one. We managed to get a table for 10 quickly  and we understand it, 10 August 2015,4,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Best place for fresh & good steam fish,Don't miss the big plate  fresh & good steam fish everybody is ordering. Try the big grouper tail  head  or fillet Hong Kong style or fermented soya or many other fresh fish choice. Besides for big group  there are many variety of other good food, 7 August 2015,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Fabulous fish,We had shark cartilage  steamed sea bass  pomfret. The quality that came out is restaurant standard and steaming hot. So fresh and thick. The fried bitter gourd with egg is out of the world but you realise the amount of lard which went in. Put, 19 July 2015,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Must Try!,If you have time for only ONE Chinese food stop  this is it! Steamed fish of any style is out of this world! Do not bother on a singapore public holiday or weekends  you will be pushed out of the way., 1 May 2015,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,6 Stars Hotel Food In Hawker Price,One of the best places for steamed fish We haven't been to Zai Shun for several months but we did today and we're happy to report that not only is Zai Shun still THE PLACE to go for steamed fish and the likes  but they, 30 December 2014,5,Singapore  Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Best Zhi Char & teochew Porridge dishes,Apart from the usual curry fish head  Lor Bak & Bittergourd fried with Eggs  I just had the Steamed Shark Head Bones - it's absolutely the best I've ever tasted., 9 September 2014,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Good Steam Fish,We visited Zai Shun at night and its turned to tze char stall. I usually patronise Zai Shun for brunch/lunch and was not aware that there is a tze char at night. A friend recommended the tze char at night as its operated by the, 8 April 2014,4,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Zhai Shun a Must for Fish Lovers,If you are hankering for good old-fashioned steamed fish this is the place. Look no further. There are no tanks of live fish swimming  but the vast array of choices is staggering and more importantly  very fresh  kept in ice boxes. Owners are folksy -, 10 January 2014,5,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
Zai Shun Curry Fish Head Seafood,Fresh fish steam just nice....,Have been to this coffee shop for a few times.. The fish is always fresh and steaming is always just right!!!! Food is not expensive also. Nice place for a decent dinner.., 2 January 2014,4,Singapore,$$ - $$$,#1 132 of 10 434 Restaurants in Singapore
