restaurant_name,rating,address,cuisine,postal_code
Summer Pavilion,4.8,The Ritz-Carlton; 7 Raffles Avenue; Millenia Singapore; 039799,Chinese,039799
Wing Seong Fatty's Restaurant,3.8,175 Bencoolen Street; #01-31 Burlington Square 189649,Asian,189649
Keng Eng Kee Seafood,3.8,124 Bukit Merah Lane 1; #01-136 150124,Hainanese,150124
Kombi Rocks Diner,3.6,Yio Chu Kang Road; #66; Serangoon 545568,Chinese,545568
Taste Paradise,3.7,2 Orchard Turn; #04-07 Ion; Orchard 238801,Chinese,238801
Paradise Dynasty,4.1,2 Orchard Turn; #04-12A Ion Orchard 238801,Chinese,238801
Mitzo,4.1,270 Orchard Road; Level 4 Orchard Grand Park 238857,Chinese,238857
Ah Chuan Fried Oyster Omelette,3.8,22 Lorong 7; #01-25 Kim Keat Palm Market Food Centre; Toa Payoh 310022,Seafood,310022
Peony Jade,3.5,3a River Valley Road; #02-02 Clarke Quay 179020,Chinese,179020
Crystal Jade Palace Restaurant,3.8,391 Orchard Road; #04-19 Ngee Ann City 238873,Chinese,238873
Summer Palace,3.8,1 Cuscaden Road; Level 3 Regent Singapore 249715,Dim Sum,249715
Min Jiang,3.7,22 Scotts Road; Goodwood Park 228221,Chinese,228221
Shang Palace,4,Shangri-la Hotel; 22 Orange Grove Road 258350,Chinese,258350
Royal China,3.6,1 Beach Road; #03-09 Raffles Hotel Arcade 189673,Chinese,189673
Hong Kong Soya Sauce Chicken Rice & Noodle,4,335 Smith Street; #02-127 Chinatown Complex Market 050335,Cantonese,050335
Legendary Hong Kong,3.5,63 Jurong West Central 3;#03-80 Jurong Point 2 648331,Chinese,648331
Majestic Bay Seafood Restaurant,3.5,18 Marina Gardens Drive; #01-10 Flower Dome; Gardens B 018953,Dim Sum,018953
Jia Wei Chinese Restaurant,3.8,50 East Coast Road; Level 2 Hotel Grand Mercure Roxy 428769,Chinese,428769
Martini Bar,3.8,10 Scotts Road; Level Grand Hyatt 228211,Bar Food,228211
Re!fill Restaurant,3.5,175a Chin Swee Road; Hotel Re! 169879,Chinese,169879
White Rose Cafe,3.5,21 Mount Elizabeth; York Hotel 228516,Asian,228516
Wah Lok Cantonese Restaurant,3.8,76 Bras Basah Road; Level 2 Carlton Hotel 189558,Chinese,189558
Buffet City,2.7,101 Cantonment Road; #01-04 Community C; Tanjong Pagar 089774,Chinese,089774
Red Star Restaurant,3.4,54 Chin Swee Road; #07-23 160054,Cantonese,160054
Joyden Canton Kitchen,3.5,2 Hillview Rise; #02-21 Hill V2 667979,Seafood,667979
Spring Court Restaurant,3.5,52-56 Upper Cross Street 058348,Chinese,058348
Kowloon Express,2.9,321 Clementi Avenue 3; #01-01 Clementi Mall,Chinese,Mall
Wen Dao Shi,3.4,126 Sims Avenue 387449,Dim Sum,387449
Jumbo Seafood,4.7,30 Merchant Road #01-01/02 Riverside Point; Singapore River; Singapore 058282,Seafood,058282
Tian Tian Hainanese Chicken Rice,4.9,1 Kadayanallur Street; #01-10/11 Maxwell Food Centre 069184,Chinese,069184
Swatow Seafood Restaurant,3.4,181 Lorong 4 Toa Payoh #02-602 310181,Chinese,310181
